distrito;setor;quadra
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;1
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;2
1;1;3
1;1;3
1;1;3
1;1;3
1;1;3
1;1;3
1;1;3
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;4
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;6
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;7
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;8
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;9
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;10
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;11
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;12
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;13
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;14
1;1;15
1;1;15
1;1;15
1;1;15
1;1;15
1;1;15
1;1;15
1;1;16
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;17
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;18
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;19
1;1;20
1;1;20
1;1;20
1;1;21
1;1;21
1;1;21
1;1;21
1;1;21
1;1;21
1;1;22
1;1;22
1;1;22
1;1;22
1;1;22
1;1;22
1;1;22
1;1;22
1;1;22
1;1;23
1;1;23
1;1;23
1;1;23
1;1;23
1;1;23
1;1;24
1;1;24
1;1;24
1;1;24
1;1;24
1;1;24
1;1;24
1;1;24
1;1;24
1;1;24
1;1;24
1;1;24
1;1;24
1;1;24
1;1;25
1;1;25
1;1;25
1;1;25
1;1;25
1;1;25
1;1;25
1;1;25
1;1;25
1;1;25
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;26
1;1;27
1;1;27
1;1;27
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;1
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;2
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;3
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;4
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;5
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;6
1;2;7
1;2;7
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;8
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;9
1;2;10
1;2;10
1;2;10
1;2;10
1;2;10
1;2;10
1;2;10
1;2;10
1;2;10
1;2;10
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;11
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;12
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;13
1;2;14
1;2;14
1;2;14
1;2;14
1;2;14
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;15
1;2;16
1;2;16
1;2;16
1;2;16
1;2;16
1;2;16
1;2;16
1;2;16
1;2;16
1;2;16
1;2;16
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;17
1;2;18
1;2;18
1;2;18
1;2;18
1;2;18
1;2;18
1;2;18
1;2;18
1;2;18
1;2;18
1;2;18
1;2;19
1;2;19
1;2;20
1;2;20
1;2;20
1;2;20
1;2;20
1;2;20
1;2;20
1;2;20
1;2;20
1;2;20
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;21
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;25
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;26
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;27
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;28
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;29
1;2;30
1;2;31
1;2;31
1;2;31
1;2;31
1;2;31
1;2;31
1;2;31
1;2;31
1;2;31
1;2;31
1;2;31
1;2;31
1;2;31
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;32
1;2;33
1;2;33
1;2;33
1;2;33
1;2;33
1;2;33
1;2;33
1;2;33
1;2;33
1;2;33
1;2;33
1;2;33
1;2;34
1;2;34
1;2;34
1;2;34
1;2;34
1;2;34
1;2;34
1;2;34
1;2;34
1;2;34
1;2;35
1;2;35
1;2;35
1;2;35
1;2;35
1;2;35
1;2;35
1;2;35
1;2;35
1;2;35
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;36
1;2;38
1;2;38
1;2;38
1;2;38
1;2;38
1;2;39
1;2;39
1;2;39
1;2;39
1;2;40
1;2;40
1;2;40
1;2;40
1;2;40
1;2;40
1;2;40
1;2;40
1;2;40
1;2;42
1;2;42
1;2;42
1;2;42
1;2;42
1;2;42
1;2;42
1;2;42
